feature,importance
catchment_area_day_minus_7,0.000188316
catch_cis_population_day_minus_6,0.00018657767
catch_in_cis_prop_day_minus_6,0.00017583706
sars_below_loq_day_minus_3,0.00017547578
ammonia_mg_l_day_minus_3,0.00016640314
catch_cis_population_day_minus_2,0.00016583456
catch_in_cis_prop_day_minus_1,0.00016444213
catch_in_cis_prop_day_minus_7,0.00016311613
raw_ansis_sars_repc_std_day_minus_3,0.00016292495
reception_delay_day_minus_7,0.000158489
suspended_solids_mg_l_day_minus_7,0.0001553286
socio_Overcrowding_Rate,0.00015408872
ophosph_mg_l_day_minus_7,0.000145317
catch_cis_population_day_minus_7,0.00014232298
socio_IMD_Score,0.0001410109
sample_ph_pre_ansis_day_minus_7,0.00013743162
grab_compo_boo_day_minus_6,0.00013715279
suspended_solids_mg_l_day_minus_2,0.00013539044
catchment_population_ons_mid_2019_day_minus_7,0.00013412473
reception_delay_day_minus_2,0.00013308025
control_gc_l_mean_day_minus_7,0.0001302694
sars_below_lod_day_minus_7,0.00012797007
suspended_solids_mg_l_day_minus_4,0.00012680025
suspended_solids_mg_l_day_minus_1,0.00012585388
socio_Elderly_Ratio,0.0001233385
catch_cis_population_day_minus_1,0.000121481826
ammonia_mg_l_day_minus_2,0.00012062508
sars_cov2_gc_l_mean_day_minus_3,0.00011783231
catchment_area_day_minus_1,0.00011309202
catch_in_cis_prop_day_minus_5,0.00011250261
catchment_population_ons_mid_2019_day_minus_4,0.00011107451
sars_below_lod_day_minus_2,0.00011046664
ammonia_mg_l_day_minus_1,0.00010977437
catch_in_cis_prop_day_minus_2,0.00010967506
ophosph_mg_l_day_minus_2,0.00010767274
sars_below_lod_day_minus_4,0.00010584536
sars_below_lod_day_minus_3,0.000105687985
control_gc_l_mean_day_minus_6,0.00010560111
reception_delay_day_minus_1,0.00010298197
sars_below_lod_day_minus_1,0.00010012407
sars_below_loq_day_minus_4,9.838228e-05
catchment_area_day_minus_2,9.5437914e-05
sars_below_loq_day_minus_2,9.45964e-05
suspended_solids_mg_l_day_minus_5,9.0540954e-05
raw_ansis_sars_repc_std_day_minus_5,9.005008e-05
ammonia_mg_l_day_minus_7,8.963966e-05
sample_ph_pre_ansis_day_minus_1,8.910733e-05
catchment_area_day_minus_5,8.852407e-05
raw_ansis_sars_repc_std_day_minus_7,8.8151595e-05
catchment_population_ons_mid_2019_day_minus_3,8.4406776e-05
sample_ph_pre_ansis_day_minus_3,8.369637e-05
catch_cis_population_day_minus_4,8.358964e-05
sars_cov2_gc_l_mean_day_minus_7,8.2352e-05
catch_cis_population_day_minus_5,8.0403275e-05
sample_ph_pre_ansis_day_minus_6,7.912432e-05
ophosph_mg_l_day_minus_3,7.7906785e-05
sars_below_lod_day_minus_5,7.7061246e-05
suspended_solids_mg_l_day_minus_3,7.693192e-05
raw_ansis_sars_repc_std_day_minus_1,7.548749e-05
ammonia_mg_l_day_minus_5,7.486817e-05
sample_ph_pre_ansis_day_minus_2,7.485248e-05
reception_delay_day_minus_4,7.330994e-05
grab_compo_boo_day_minus_3,6.703188e-05
catchment_population_ons_mid_2019_day_minus_5,6.6978915e-05
ophosph_mg_l_day_minus_5,6.274457e-05
catchment_population_ons_mid_2019_day_minus_1,5.916831e-05
reception_delay_day_minus_5,5.490792e-05
control_gc_l_mean_day_minus_2,5.317738e-05
grab_compo_boo_day_minus_7,5.0924817e-05
control_gc_l_mean_day_minus_4,4.1830164e-05
reception_delay_day_minus_3,4.1341886e-05
sample_ph_pre_ansis_day_minus_5,3.355436e-05
catch_in_cis_prop_day_minus_3,2.6392916e-05
grab_compo_boo_day_minus_4,2.517654e-05
grab_compo_boo_day_minus_5,1.9137035e-05
data_available_day_minus_1,0.0
data_available_day_minus_7,0.0
data_available_day_minus_3,0.0
grab_compo_boo_day_minus_1,0.0
data_available_day_minus_6,0.0
data_available_day_minus_5,0.0
data_available_day_minus_4,0.0
data_available_day_minus_2,0.0
